Default 0,,Dataset 1,
X,Y,X,Y
0.0021733889387082206,0.00009116345741475018,0.007982877967599139,-0.0000820733341637403
0.009273010894062808,-0.000040321415493704826,0.015294897938817179,0.00003695330494796201
0.016362511172164057,0.0007676118816736244,0.02217610328957595,0.00021355718674184732
0.023457371585799996,0.0010780575995266994,0.0292713119759776,0.0004916788385277426
0.0305511164382333,0.0014920413415009381,0.03636460943783798,0.0009471860180503278
0.03764347364136572,0.0020348162842114548,0.04345754424513318,0.001436352074403957
0.04473207214177005,0.00292644582387408,0.05055068545068572,0.0019063617924968135
0.05181535637291912,0.004311305978793117,0.05764140468346696,0.002601160858429208
0.05889981213767956,0.005587433170401529,0.06518104730194524,0.003093332320307507
0.06598683641408712,0.006625170374764872,0.07221631102826281,0.0037189521631575684
0.07306782033471446,0.008223528099979921,0.07891325220137865,0.0047143466775675935
0.08014913076105962,0.009791582013257083,0.08600305177638795,0.005494501480458519
0.08723011468168695,0.01138993973847216,0.09309170858138474,0.006380719625132231
0.09431109860231429,0.012988297463687237,0.10017998446304405,0.0073022922170668525
0.10139028674149347,0.014753326154560903,0.10726738966278909,0.008304674974169313
0.10846898512209585,0.016563810563341524,0.11435533903873057,0.009256551378041822
0.1155468672384036,0.018450054501966934,0.12144225447989881,0.010304389853051182
0.12262328007898105,0.020472665594313044,0.12852797273343497,0.01146334230516624
0.12969806039096923,0.022646795746348786,0.13561418074554793,0.012576839039374454
0.13677284070295742,0.024820925898384555,0.14269989899908406,0.013735791491489513
0.1438469680035099,0.027055663674296154,0.149783821471172,0.015061414909263243
0.15091962602833206,0.029426768603928455,0.15686774394326,0.016387038327036918
0.15799359007602562,0.03167665828580905,0.16395411520823186,0.017485383155276146
0.16506788062943703,0.033896244155751695,0.17103733025126452,0.018876664832248674
0.17213942853481848,0.03637038204597298,0.17812016437095965,0.020303300956482168
0.17920786530714564,0.039133271972802794,0.1852016380501638,0.021856202963790317
0.1862794893971946,0.04160033897357189,0.19228353618680114,0.023369710015579193
0.19334879918361966,0.04428220227943434,0.19936654444287907,0.024780184106779096
0.2004190900419874,0.04687300984561665,0.20644542939817737,0.026573352051595167
0.20748319050742361,0.05003836325575549,0.21352954621890693,0.027880937486072427
0.2145486930039602,0.05307359065439417,0.2206084622699879,0.029671219353561096
0.22161551473907584,0.05598637622241699,0.227690850165202,0.031139270687443085
0.22711894768256993,0.0585513525375672,0.23477166539120845,0.03275328538215942
0.23445974631630365,0.06170327452176297,0.2418527744723609,0.034340026646131616
0.24152398321448618,0.06485596526762774,0.24893240339425918,0.036064145190889074
0.24858791265311783,0.06803719210306737,0.25601670134792265,0.03735491922493418
0.25564903906607495,0.07147857475892974,0.26309850153284464,0.03887751742030442
0.2627160545020033,0.07437338247026713,0.2701716021543066,0.04120754384930975
0.2697785364319525,0.0776889562052983,0.27709344229694644,0.04260365669947515
0.27684145370285884,0.08096412485774551,0.284334078152476,0.04435709598608091
0.28390225801533386,0.08443540246459108,0.29141414397012055,0.04604066514438816
0.28882770677042846,0.08663883235060166,0.29849151728168466,0.0479741325232835
0.29482032780339673,0.0892508705866834,0.3055724875979071,0.049573752907329335
0.3017439647964023,0.09261918137221208,0.3126501574854983,0.05147969432371441
0.3076830773634195,0.09552415287025362,0.31972857833624047,0.05331593697264221
0.3140771561671226,0.09870970041957614,0.3268067760747422,0.05517288722639428
0.3204973662809286,0.1017450200123517,0.3338863016031631,0.05690660197826547
0.32691291816011614,0.1052126820056565,0.3409645102251887,0.05876254210495295
0.33397750553368244,0.10833284425497677,0.3480420658357787,0.06067908985551629
0.34103759308836745,0.11187064594421942,0.35511962144636855,0.06259563760607964
0.34809817040162916,0.11536299191555514,0.36220011560841914,0.06423945104920162
0.35515956397918547,0.11877957835704606,0.3692775079661501,0.06617115070573391
0.3622219370738954,0.12210525336272318,0.3763552268295989,0.06807254655032831
0.3692820246285804,0.1256430550519658,0.38343245593447095,0.07001939811282958
0.376342765194701,0.12912024911733258,0.39050935853362523,0.07199655348726879
0.3834012202207967,0.13280956986626485,0.3975859346270616,0.07400401267364591
0.3904608180169049,0.1363928272734144,,
0.3975213953301666,0.13988517324475014,,
