Dataset 1100,,Dataset 1200,,Dataset 1300,
X,Y,X,Y,X,Y
3.2074146385467515,88.22904110951934,2.438812834759865,80.914599401479,1.2788629405405274,71.93024400742316
7.578455004006159,87.92648511763517,6.810472461075079,80.43741184825872,5.649804224263008,71.65562906535274
11.949643992070946,87.5820175510303,11.182255939561458,79.92529798277123,10.021860177525937,71.06667731287737
16.32095683230692,87.20262367215824,15.554088958916296,79.39921359237685,14.393916130788867,70.477725560402
20.69244306558251,86.77433295611208,19.925847666968423,78.8940849893428,18.765848231880625,69.92370012019384
25.06383021712115,86.37398328987967,24.297854079362878,78.31910376177431,23.13790418514354,69.33474836771848
29.43489535301481,86.06444203554204,28.66983572132311,77.75110779665928,27.5101335314461,68.696899778069
33.8063072749877,85.65710710685622,33.0419412154545,77.14818551927702,31.882189484709016,68.10794802559363
38.17766965609211,85.26374270307726,37.41399716871743,76.55923376680164,36.25446837188004,67.45612891103727
42.54932928240733,84.78655514985698,41.78612743328304,75.94932622696595,40.62684634078798,66.77636874666713
46.92074120438022,84.37922022117114,46.158208156980194,75.35338921203713,44.99905091665629,66.14550541947109
51.2924503715639,83.88806214304398,50.53046227371698,74.70855535993421,49.37152796730116,65.4378042052872
55.66398614570794,83.44580090209092,54.902815472190696,74.03578045801751,53.74395547707756,64.74407351601016
60.03584393549701,82.9127312492431,59.275267752401334,73.33506450628704,58.116382986853964,64.05034282673313
64.40730539833838,82.49142579565037,63.64762095087504,72.66228960437036,62.48873618532767,63.37756792481644
68.77918795856166,81.9513708803491,68.01997414934874,71.98951470245366,66.86101507249869,62.72574881026008
73.15107051878496,81.41131596504783,72.3923768886909,71.30276927563008,71.2337645979201,61.941209709088284
77.52290353813981,80.88523157465346,76.7649530210727,70.56712701163238,75.60631595986769,61.21255270754404
81.89488518010003,80.31723560953841,81.13738053084913,69.87339632235536,79.97906548528911,60.428013606372254
86.2668172811918,79.76321016933026,85.51005574496784,69.10981300854391,84.3519636333159,59.6015629304798
90.63872461184931,79.21616999157555,89.88273095908659,68.34622969473244,88.72493609264544,58.75415646722702
95.01058240163837,78.68310033872773,94.25545571407378,67.5686758560141,93.09810671544878,57.850867904346686
99.38281174794093,78.04525174907826,98.6281556986267,66.79810727974919,97.47135164955483,56.92662355410602
103.75496678294078,77.4283589467891,103.00083091274544,66.03452396593772,101.84457181322668,56.00936446631881
108.12722089967758,76.78352509468618,107.37372906077226,65.20807329004528,106.218163533412,54.987326441729934
112.4993511642432,76.17361755485048,111.74670152010177,64.3606668267925,110.59163140142616,54.000214729408285
116.87167959228265,75.50782791538722,116.11959966812859,63.53421615090004,114.96509926944032,53.013103017086635
121.24408233162484,74.82108248856365,120.49237396398425,62.74269178727481,119.33876530092832,51.97010920513743
125.6164603005328,74.14132232419351,124.86571797982722,61.790506387220375,123.71257995502171,50.885203818467566
129.98893735117767,73.4336211100096,129.23881429132788,60.90817361170037,128.08629552737818,49.82823948161148
134.3613153200856,72.75386094563947,133.61205922543397,59.983929261459714,132.46015972234005,48.72936357003473
138.73374282986202,72.06013025636244,137.98555186388236,58.98983228668462,136.83419731034155,47.581590821283875
143.10644281441498,71.28956168009753,142.3590197318965,58.00272057436296,141.2083587505142,46.3988917602658
147.47906848766522,70.53994889119296,146.73248759991066,57.01560886204131,145.58264404285802,45.18126638698051
151.851644620047,69.80430662719527,151.10615363139868,55.97261505009211,149.95722658041257,43.8798178642539
156.22424552286304,69.06167910074414,155.4800921376632,54.852783351155026,154.33193297013835,42.54344302926006
160.5971684413241,68.22824316239826,159.8538820213224,53.774863226938606,158.70676321203527,41.17214188199902
164.96986842587705,67.45767458613335,164.22787006845542,52.64106100309464,163.0814448313268,39.842752309458625
169.34266749216695,66.65916496005467,168.6019819677596,51.47233246698345,167.4564236958291,38.429539587476924
173.71571426279914,65.79080270944155,172.97611863749802,50.29661866841882,171.83147687163412,36.995371078134895
178.08883534473404,64.90148467146811,177.350205766368,49.13487539476108,176.0082129968903,35.471573229567525
182.46203073797165,63.99121084613434,181.72449105871178,47.917250021475795,179.82388041051934,33.92362916171075
186.83507750860386,63.12284859552122,186.09872681018712,46.713595173097396,183.7994339588267,32.269567727922635
191.2084710653153,62.1566926705599,190.4732102660048,45.440087700184556,188.142089470859,30.63570080348279
195.58196370376368,61.1625956957848,194.8475698696513,44.20150653953893,192.31958852548956,28.896756871349382
199.9554068013436,60.1824692459166,199.2221771776401,42.89307275435888,195.15524033694356,27.457231755604653
204.32907283283163,59.1394754339674,203.5970817308397,41.5008158197375,198.63184818902147,26.043906328147187
208.7028627164908,58.06155530975098,207.97191197273662,40.12951467247645,202.3010616487751,24.20905540307291
213.07660305928152,56.99760571044145,212.34696514854164,38.69534616313442,205.93974554833767,22.49641354368825
217.4506158768487,55.85681822414403,216.72201832434666,37.26117765379237,209.59012976250978,20.709391189527736
221.82470300571867,54.695074950486294,221.0973439749282,35.750171257462455,212.3888466448779,18.882615968603588
226.19874059372017,53.547302201735434,225.47289255941786,34.17629749905154,215.60178162880993,17.07770023125319
230.5727286408532,52.41349997789146,229.84849068477598,32.58845321573375,218.758100246671,15.234303270459947
234.9469891627628,51.20285986705962,234.2240888101341,31.000608932415943,221.42117738873412,13.370733295248357
239.32115060293546,50.020160806041545,238.40112218060113,29.392987934407273,223.9634194529669,11.727412766340805
243.69551020658196,48.78157964539593,242.37933566070438,27.837538424978163,226.6652987997482,10.001518606687526
247.6720401228386,47.70089514071922,246.55676783516247,26.117454701469057,228.78278981576625,8.228880231367611
,,249.53940059148022,25.240581329653793,231.28593803744315,6.407015784416259
,,,,233.5595476005562,4.525631947274761
,,,,236.06713678000722,2.4698726369787494
,,,,238.10496253409644,0.8799330607376277
